X1,X2,X3,X4,X5,X6,X7,X8,Y
No,Hot,6.11,6.05,7.92,70.51,72.23,72.04,96.64
Yes,Neutral,5.84,5.66,4.48,97.26,39.02,42.22,106.04
Yes,Neutral,5.27,5.08,4.99,69.79,1.88,5.74,116.66
No,Neutral,1,1,18.12,96.97,96.82,93.61,106.1
No,Neutral,3.46,3.52,15.5,NA,32.48,29.59,104.72
No,Cold,5.5,5.25,9.9,99.75,94.9,95.42,106.26
Yes,Cold,4.62,4.47,33.2,84.19,18.73,16.24,115.07
Yes,Neutral,6.95,7.18,5.07,99.02,67.64,66.7,103.49
Yes,Neutral,5.76,5.56,4.04,96,95.66,99.43,112.76
No,Hot,1,1,18.24,94.24,54.44,58.95,94.74
No,Neutral,4.81,4.79,2.48,92.55,15.21,19.87,105.71
No,Cold,6.34,6.12,7.4,84.19,72.9,68.84,107.73
Yes,Cold,6.44,6.62,17.16,98.84,99.86,100,118.06
No,Neutral,3.57,3.72,4.44,91.12,NA,83.59,103.96
Yes,Neutral,1,1,1.14,98.77,90.18,93.89,100.46
No,Hot,7.94,7.85,8.32,97.31,51.81,56.15,97.44
No,Neutral,5.58,5.59,27.47,88.34,51.41,54.04,107.5
Yes,Neutral,7.62,7.76,6.25,62.99,21.46,25.28,109.74
Yes,Neutral,5.86,5.69,18.36,96.1,21.38,18.69,101.14
Yes,Neutral,3.47,3.49,3.12,84.41,81.11,79.76,107.15
No,Cold,3.37,3.36,8.43,NA,95.81,92.8,114.52
Yes,Cold,4.77,4.9,1.38,87.82,3.89,4.95,113.85
Yes,Neutral,5.54,5.36,16.58,98.38,8.79,12.7,108.63
No,Neutral,4.18,4.2,NA,99.99,32.94,31.24,109.56
No,Neutral,4.81,4.81,NA,89.16,9.01,6.4,98.15
Yes,Neutral,3.8,3.72,14.02,97.44,91.16,88.58,109.95
No,Neutral,6.53,6.63,5.4,96.17,87.28,83.41,102.9
NA,Neutral,6.4,6.63,20.3,94.61,47.55,44.45,113.55
Yes,Neutral,6.95,7.29,8.5,84.02,36.8,38.61,107.09
Yes,Cold,2.67,2.59,17.78,97.3,73.9,77.52,106.73
No,Neutral,NA,8.42,4.09,91.78,14.59,13.53,106.67
Yes,Cold,NA,4.73,2.25,NA,8.48,8.31,108.1
No,NA,NA,8.14,3.35,99.12,12.82,16.78,115.93
No,Neutral,4.76,4.69,2.87,83.73,96.35,95.9,106.8
Yes,Neutral,9.31,9.61,1.69,98.94,19.02,22.04,110.63
Yes,Cold,5.2,5.03,1.93,95.48,89.33,86.49,107.38
No,Neutral,4.56,4.73,25.86,NA,29.77,28.63,110.16
Yes,Neutral,3.44,3.38,9.71,93.43,19.7,19.81,108.72
No,Neutral,3.97,3.88,6.57,91.31,NA,34.43,105.41
Yes,Neutral,4.29,4.15,4.65,67.89,16.13,11.4,110.32
Yes,Neutral,3.63,3.72,25.65,97.97,74.6,78.79,116.48
No,Neutral,7.3,6.99,1.06,90.52,4.58,6.38,106.31
No,Neutral,7.41,7.73,10.84,96.14,91,89.54,113.37
Yes,Neutral,3.22,3.18,10.19,98.84,91.01,92.29,121.06
Yes,Neutral,5.55,5.76,38.89,83.94,81.17,83.41,112.12
Yes,Neutral,6.97,6.78,3,99.69,86.71,87.71,114.61
No,Neutral,5.15,5.06,11.49,98.53,20.88,25.61,100.26
No,Neutral,5.27,5.05,5.72,85.51,91.78,91.5,102.95
No,Neutral,4.34,4.48,3.32,87.19,52.48,54.69,100.81
Yes,Neutral,3.29,3.36,36.12,90.94,1.49,1,110.8
Yes,Neutral,4.78,4.76,13.93,90.02,3.95,NA,112.24
No,Neutral,3.47,3.56,1.04,99.5,42.02,44.35,101.83
Yes,Cold,7.22,7.52,1.26,96.62,61.46,66.29,110.88
No,Hot,7.28,7.26,14.13,90.43,60.26,61.03,97.06
Yes,Cold,4.23,4.18,22.84,79.78,40.52,42.19,110.88
Yes,Cold,1.12,1.14,6.66,94.23,46.97,44.81,102.78
Yes,Cold,5.36,5.48,5.12,96.95,6.26,7.61,110.56
Yes,Hot,7.49,7.19,4.4,99.6,87.97,91.29,102.9
No,Neutral,4.12,NA,11.57,62.72,NA,44.39,100.3
Yes,Cold,NA,6.22,4.15,95.17,NA,33.96,119.08
No,Hot,5.51,5.4,3.59,97.3,57.5,57.42,101.68
Yes,Neutral,8.76,9.1,1.39,73.54,71.94,68.22,108.44
Yes,Cold,7.43,7.78,2.56,96.19,90.39,93.83,110.53
Yes,Neutral,1.8,1.8,11.96,88.52,62.14,58.55,103.33
Yes,Neutral,7.01,7.35,2.17,56.81,95.03,99.07,107.62
No,Hot,4.15,4.35,NA,91.04,59.88,57.27,100.14
No,Neutral,5.53,5.73,7.94,98.54,15.32,11.25,103.86
Yes,Hot,5.73,5.66,1.73,99.19,56.58,56.31,99.48
Yes,Hot,5.37,5.3,11.86,91.52,NA,13.81,105.66
No,Hot,2.52,2.62,7.66,90.32,35.04,34.91,89.08
Yes,Hot,4.26,4.17,21.77,94.14,64.6,64.52,105.51
NA,Neutral,3.77,3.74,3.12,NA,29.01,25.57,99.54
Yes,Hot,6.78,6.48,3.41,91.07,59.88,62.92,98.81
Yes,Neutral,7.29,7.57,2.08,91.32,88.06,88.63,105.55
NA,Neutral,6.16,6.1,5.56,91.44,3,1,108.09
NA,Cold,5.13,4.97,1.25,97.93,1.24,4.51,103.74
Yes,Neutral,4.77,4.95,1.16,95.84,23.52,23.49,110.25
Yes,Neutral,6.5,6.75,23.89,92.66,23.41,21.43,109.79
No,Neutral,6.51,6.39,5.03,96.7,5.04,5.45,105.38
Yes,Cold,NA,2.32,8.42,99.95,76.66,79.9,119.54
Yes,Hot,3.76,3.63,2.27,92.5,95.41,97.36,97.14
Yes,Neutral,4.42,4.57,5.73,95.45,69.76,69.5,122.06
No,Neutral,6.87,6.59,11.19,92.58,86.24,85.46,108.27
Yes,Cold,4.18,4.13,17.11,85.33,62.77,60.3,116.37
Yes,Cold,1.91,NA,4.99,85.97,38.8,40.11,113.26
No,Cold,8.12,7.91,17.54,97.72,92.25,96.34,109.78
No,Cold,6.4,6.43,17.86,89.78,1.97,1,101.19
No,Hot,NA,6.72,12.05,81.62,37.42,36.48,91.44
NA,Cold,8.19,8.44,4.65,18.37,83.72,85.51,107.38
No,Neutral,NA,7.8,NA,96.1,14.87,15.44,107.2
Yes,Hot,6.63,6.39,2.71,99.28,76.48,73.2,100.56
Yes,Cold,4.36,4.38,16.07,83.14,87.18,NA,104.67
Yes,Hot,4.88,4.66,2.22,87.33,79.87,81.17,98.01
No,Hot,5.77,5.8,9.51,NA,17.01,17.72,94.35
No,Neutral,5.56,5.8,41.97,92.31,28.34,25.11,107.22
No,Neutral,6.97,7.08,9.26,65.47,31.16,34.8,102.5
Yes,Hot,3.87,3.72,1.28,90.28,84.13,85.19,95.54
Yes,Hot,2.08,2.15,13.75,96.38,63.01,62.2,96.53
No,Neutral,5.15,5.33,18.12,NA,60.2,55.3,108.79
No,Neutral,8.57,8.66,20,82.19,NA,NA,113.94
Yes,Neutral,4.4,4.26,8.17,99.93,36.61,35.22,107.96
NA,Neutral,5.81,5.66,8.69,84.05,NA,66.86,116.17
No,Neutral,2.03,2.01,6.76,97.66,54.99,52.84,99.07
No,Neutral,6.98,6.69,15.31,95.59,93.63,94.27,105.97
No,Neutral,8.85,9.21,1.6,98.95,69.84,71.3,110.02
Yes,Neutral,5.9,6.02,29.07,97.53,8.9,13.04,111.41
Yes,Neutral,1,0.96,8.84,97.01,9.14,4.3,103.9
No,Cold,8.58,NA,17.9,97.2,19.37,14.45,108.66
No,Neutral,5.15,5.13,14.69,98.03,93.67,98.3,98.98
No,Cold,5.59,5.64,25.79,95.29,66.19,67.33,107.59
No,Neutral,6.28,6.36,7.12,93.21,23.28,20.24,103.07
No,Hot,5.49,5.47,17.26,96.52,82.92,78.15,96.4
No,Cold,5.96,5.77,13.39,92.93,69.71,69.24,104.3
Yes,Neutral,4.26,NA,11.49,92.41,81.56,78.95,110.25
Yes,Hot,1.22,1.2,13.27,99.25,21.68,25.76,97.82
Yes,Neutral,NA,5.12,NA,95.2,80.68,84.6,111.02
Yes,Cold,6.18,6.28,19.21,82.1,18.5,16.05,111.81
NA,Neutral,6.48,6.25,3.54,96.08,52.03,49.64,108.83
No,Neutral,1.86,1.86,15.54,87.04,68.1,65.73,103.95
No,Neutral,6.81,6.93,42.88,96.89,47.13,48.63,109.32
Yes,Neutral,NA,7.3,25.91,95.85,28.06,32.75,112.7
No,Cold,NA,3.67,79.26,76.46,87.79,88.66,109.79
Yes,Neutral,7.85,7.56,8.89,84.62,50.87,49.55,109.84
Yes,Neutral,4.31,4.42,6.2,97.46,43.58,NA,108.97
Yes,Neutral,7.01,7.27,7.17,89.65,52.08,NA,110.28
Yes,Neutral,2.31,2.36,21.71,35.56,85.24,89.75,108.59
No,Neutral,4.35,NA,4.99,77,99.99,97.44,101.52
Yes,Neutral,8.59,8.78,7.91,96.73,21.83,17.44,115.55
No,Neutral,4.51,4.66,4.81,98.73,87.6,88.37,98.3
No,Neutral,NA,4.36,7.42,96.83,91.57,93.31,109.4
Yes,Neutral,5.29,NA,11.38,83.48,17.8,18.02,108.73
NA,Hot,5.46,5.31,2.35,88.51,55.94,56.95,91.12
Yes,NA,1,1.02,41.43,97.44,51,46.76,103.74
Yes,Neutral,NA,7,5.82,63.73,64.06,62.62,112.96
NA,Neutral,6.74,6.56,2.72,85,19.95,22.34,95.84
Yes,Neutral,2.05,2.14,30.84,84.58,95.96,96.3,104.77
No,Neutral,5.05,5.05,1.37,76.01,44.69,44.56,108.17
No,Neutral,3.69,3.81,2.03,80.72,77.22,78.73,110.18
Yes,Hot,5.55,5.78,9.4,29.69,4.4,1.78,93.18
No,Neutral,5.09,4.9,49.45,93.29,50.45,52.63,118.36
Yes,Cold,2.23,2.21,6.78,99.68,37.25,36.95,117.72
No,Neutral,4.41,4.35,3.22,74.68,NA,25.34,103.3
No,Hot,6.46,6.72,11.86,85.4,15.09,14.54,84.75
No,Neutral,3.84,3.96,20.09,91.14,32.92,32.48,111.9
No,Hot,2.14,2.14,36.68,93.63,85.39,81.04,97.28
No,Neutral,2.86,NA,15.53,50,16.25,12.7,97.14
Yes,Hot,6.61,6.67,15.17,93.08,22.73,20.66,102.83
No,Neutral,8.05,NA,15.25,90.78,91.38,NA,108.32
No,Hot,3.73,3.69,7.34,92.52,45.2,47.6,85.39
No,Neutral,5.16,4.98,27.38,99.42,48.66,51.16,115.16
Yes,Neutral,NA,4.88,3.32,92.4,12.02,NA,109.27
No,Cold,3.04,3.08,8.22,88.1,37.56,37.85,100.46
Yes,Neutral,5.31,5.24,9.78,96.02,44.25,42.67,112.46
Yes,Hot,NA,5.82,5.43,89.24,65.26,61.02,100.51
No,Cold,2.69,2.63,13.78,95.34,NA,43.46,98.93
No,Neutral,4.42,4.64,11.62,75.37,60.32,60.88,103.08
Yes,Neutral,5.81,6.02,4.05,74.84,68.75,70.82,117.28
Yes,Neutral,9.49,9.54,15.88,82.04,43.56,40.1,121.29
No,Neutral,3.03,3.13,16.42,96.65,68.44,70.44,100.13
No,Hot,6.11,6.37,8.48,81.92,12.95,14.83,96.36
No,Cold,6.2,6.12,5.3,91.71,1.45,NA,107.67
No,Cold,4.91,4.75,19.62,98.22,59.83,NA,106.46
No,Cold,4.07,4.1,68.34,96.48,2.13,1,116.05
No,Hot,4.34,4.54,8.43,67.62,56.15,57.83,91.7
No,Neutral,6.67,6.6,2.48,97.29,23.76,27.09,112.06
No,Hot,3.95,3.89,2.37,82.18,68.98,72.27,94.23
No,Neutral,4.64,4.79,21.7,89.14,47.15,49.06,105.55
No,Cold,3.33,3.45,4.78,81.16,66.97,69.63,103.94
No,Neutral,4.12,4.31,28.97,97.89,55.4,51.4,109.97
No,Neutral,2.84,2.9,6.15,98.6,58.31,55.52,106.36
No,Hot,3.61,3.56,3.35,86.78,64.01,62.46,90.03
No,Hot,2.79,2.78,5.17,98.47,97.11,92.15,96.91
No,Neutral,6.4,6.29,4.26,NA,72.94,73.98,107.48
Yes,Neutral,3.49,3.35,3.1,75.8,60.55,61.79,107.79
No,Neutral,6.09,6.33,9.15,95.39,74.25,72.21,104.57
No,Cold,4.57,4.43,12.53,93.69,6.1,10.38,104.64
No,Hot,5.06,5.07,13.43,79.09,38.53,42.33,91.1
Yes,Neutral,4.79,NA,2.15,95.4,32.08,28.46,113.04
Yes,Hot,5.76,5.89,5.14,91.95,76.51,78.96,94.62
No,Neutral,8.5,8.27,5.38,90.93,28.15,31.07,103.75
No,Neutral,9.14,9.09,3.86,79.58,75.77,77.13,111.01
No,Neutral,6.45,6.69,32.76,99.3,79.01,76.11,106.81
Yes,Neutral,2.1,2.06,5.39,99.17,27.71,23.73,110.37
Yes,Neutral,5.2,5.15,10.51,84.3,97.81,99.45,95.34
No,Hot,5.58,5.7,9.14,97.26,82.61,85.61,96.55
No,Neutral,4.33,4.2,12.35,96.97,NA,20.09,99.17
No,Neutral,NA,8.03,NA,95.71,65.61,64.18,107.84
No,Neutral,3.74,3.71,2.3,83.19,75.97,72.93,103.59
No,Neutral,4.84,4.65,18.97,97.12,54.79,51.75,106.18
Yes,Neutral,4.64,4.85,17.86,61.24,72.31,67.95,110.7
Yes,Neutral,1.68,1.74,5.04,88.44,22.67,20.95,105.69
Yes,Cold,2.57,2.57,NA,87.4,31.88,30.52,115.25
Yes,Hot,3.96,3.83,5.22,93.68,14.75,16.71,94.69
Yes,Neutral,5.13,5.14,4.71,75.55,50.05,52.27,116.9
No,Neutral,6.06,6.11,6.33,96.61,13.72,9.87,101.86
No,Neutral,5.12,5.35,4.95,84.52,43.54,43,93.64
No,Neutral,3.11,3.25,16.25,79.17,85.72,88.65,95.91
NA,Neutral,4.57,4.74,54.5,80.15,96.98,92.28,98.95
Yes,Cold,7.39,NA,7.5,97.15,41.77,45.14,118.94
No,Neutral,2.98,3.12,2.01,NA,79.45,83.88,99.22
Yes,Cold,4.61,4.68,1.35,95.19,36.98,35.23,105.53
No,Cold,6.59,6.59,5.08,95.79,64.45,NA,104.16
Yes,Neutral,5.62,5.83,11.56,56.39,41.07,42.32,112.59
Yes,Neutral,1,0.97,6.36,97.52,17.53,19.42,101.55
NA,Hot,7.04,6.69,7.57,81.59,NA,NA,111.81
Yes,Neutral,4.62,4.4,4.57,95.1,60.53,59.82,106.46
Yes,Cold,5.28,5.17,4.21,93.57,71.29,76.11,114.37
No,Cold,8.24,8.47,11.59,NA,51.63,49.88,116.08
No,Neutral,6.43,6.61,16.06,71.95,27.02,25.14,103.17
NA,Neutral,5.85,5.59,8.36,83.59,NA,1.87,116.52
No,Cold,1.95,1.91,6.94,88.52,73.36,72.62,101.55
Yes,Cold,4.95,5.04,38.04,99.53,70.31,72.78,116.94
No,Neutral,NA,3.61,5.59,98.84,54.91,53.93,111.61
Yes,NA,3.63,3.49,6.73,76.94,99.12,94.87,108.82
Yes,Cold,4.4,4.56,17.88,98.79,35.93,39.92,122.12
Yes,Neutral,5.92,5.69,1.23,98.03,36.4,38.89,115.61
No,Cold,6.16,6.36,15.5,78.37,34.7,38.19,108.13
No,Neutral,6.66,6.55,26.28,85.97,91.33,92.57,110.06
Yes,Neutral,2.73,2.75,32.09,84.63,27.13,24.35,115.91
No,Neutral,3.54,3.45,NA,65.22,98.7,100,100.44
Yes,Neutral,8.05,7.72,2.06,91.19,39.76,38.12,113.5
Yes,Hot,4.56,4.71,27.28,93.03,17.59,17.57,102.78
No,Neutral,3.11,3.03,17.13,89.34,40.56,43.37,95.96
Yes,Hot,3.89,3.77,29.02,96.45,55.1,58.95,95.2
No,Cold,4.07,4.26,2.78,97.95,71.2,66.89,106.21
Yes,Neutral,4.38,4.42,26.06,83.93,58.41,54.84,112.86
Yes,Neutral,7.89,7.6,1.11,82.15,73.19,68.54,106.32
No,Neutral,6.12,6.05,9.76,99.12,23.29,20.96,105.73
No,Neutral,4.3,4.17,26.07,79.97,99.06,96.28,104.43
Yes,Neutral,7.24,7.33,4.67,96.94,40.02,NA,115.54
Yes,Neutral,5.5,5.39,10.5,98.49,87.13,82.53,113.76
Yes,Cold,3.34,3.26,8.05,81.96,13.29,13.9,102.89
Yes,Neutral,5.81,5.78,3.32,95.1,81.5,80,110.54
No,Neutral,9.84,10.1,1.36,98.61,99.32,95.82,115.83
No,Neutral,4.7,NA,1.23,89.3,93.07,96.47,105.68
No,Neutral,3.8,NA,9.94,95.09,8.87,7.89,108.23
No,Neutral,4.95,5.02,23.69,79.59,37.98,36.85,107.44
Yes,Cold,3.4,3.46,30.49,97.21,NA,52.54,117.88
NA,Cold,4.18,NA,4.31,96.68,17.4,14.34,117.99
Yes,Neutral,5.06,4.89,14.87,98.78,86.69,NA,109.95
No,Neutral,2.87,2.77,6.19,91.64,24.04,25.35,97.45
No,Hot,5.56,5.66,8.52,94.93,62.98,60.05,104.95
Yes,Hot,4.15,4.08,30.14,NA,88.68,84.58,103.68
Yes,Neutral,1.34,1.27,14.16,97.11,99.46,100,102.95
Yes,Neutral,8.18,8.2,4.54,99.87,73.99,75.66,117.48
Yes,Neutral,5.67,5.52,4.94,61.37,18.18,22.9,116.97
No,Neutral,5.7,5.5,11.56,91.46,29.1,27.61,100.89
Yes,Neutral,6.53,6.29,24.67,99.29,95.03,93.59,110.11
No,Neutral,5.73,5.53,NA,85.07,40.82,41.15,108.59
Yes,Neutral,6.33,6.28,1.48,97.79,43.72,39.57,116.45
Yes,Neutral,3.77,3.6,5.47,94.13,63.21,64.47,118.25
Yes,Cold,6.6,6.34,7.09,99.85,13.48,18.43,115.03
Yes,Hot,7.32,7.67,20.87,86.24,32.77,30.4,103.69
No,Neutral,4.85,4.72,18.13,94.71,37.55,40.77,106.87
Yes,Neutral,3.88,3.87,1.15,96.64,85.1,84.95,104.19
Yes,Neutral,6.85,7.04,51.36,68.04,52.97,50.3,114.1
Yes,Hot,3.89,3.92,8.19,97.59,40.32,43.18,101.22
Yes,Neutral,6.13,6.05,25.91,89.94,27.03,22.64,107.63
No,Cold,6.35,6.07,13.14,NA,48.2,51.53,105.41
No,Hot,7.97,7.65,23.93,99.28,21.35,20.61,108.72
No,Neutral,8.97,9.39,6.28,93.7,47.76,51.37,111.76
Yes,Neutral,6.85,7.18,2.76,65.09,NA,77.94,109.87
Yes,Cold,4.96,4.73,4.74,97.58,75.51,75.39,110.79
Yes,Neutral,5.67,5.64,NA,89.43,93.67,91.78,108.21
No,Neutral,8.55,8.17,6.6,66.11,7.52,7.22,104.17
No,Hot,4.79,NA,6,86.17,28.9,32.12,92.44
Yes,Neutral,5.35,5.48,20.94,95.26,81,77.75,111.61
No,Neutral,1.97,2.05,24.45,99.45,3.25,7.07,104.85
No,Cold,6.34,NA,NA,99.57,90.9,87.88,108.43
Yes,NA,6.59,6.52,2.62,99.88,2.88,6.97,114
No,Neutral,NA,8.2,14.36,77.66,6.8,7.92,107.82
No,Cold,4.74,4.69,19.4,96.47,19.66,19.27,107.32
NA,Neutral,6.21,5.96,28.6,95.52,1.8,1,114.9
No,Neutral,3.29,3.18,7.12,97.06,45.43,43.7,114.07
Yes,Cold,5.93,5.65,35.17,94.54,33.33,33.97,107.72
Yes,Neutral,5.29,NA,13.87,98.69,66.44,64.71,113.07
No,Cold,7.66,8.01,8.76,88.23,81.12,84.99,100.78
Yes,Neutral,4.89,4.82,25.41,99.87,82.19,86.4,113.59
No,Hot,2.48,2.41,9.73,90.07,41.88,44.16,92.16
No,Cold,5.91,5.93,NA,82.42,31.77,36.49,101.55
Yes,Neutral,6.9,6.59,13.17,93.93,78.54,74.21,108.75
No,Neutral,1.07,1.09,7.59,92.01,71.13,72.05,104.94
Yes,Neutral,1.93,2.01,2.01,98.7,43.07,46.04,115.54
Yes,Neutral,8.28,8.19,21.2,97.57,NA,68.9,112.16
No,Neutral,10,10.03,11.31,75.77,56.06,60.79,115.34
Yes,Neutral,5.37,5.53,17.03,93.07,7.77,8.74,102.5
No,NA,2.78,2.76,4.02,83.95,93.12,95.09,98.95
Yes,Neutral,4.39,4.31,NA,72.48,NA,NA,94.68
No,Hot,NA,5.03,1.44,88.34,11.06,13.09,85.78
Yes,Neutral,6.74,6.71,43.25,65.91,67.01,66.72,116.56
No,Hot,6.75,6.74,17.39,33.16,94.08,90.68,92.84
Yes,Cold,4.2,4.29,1.94,NA,68.51,72.06,112.34
No,Neutral,4.79,4.82,21.37,NA,74.93,77.44,117.07
No,Cold,6.54,NA,15.94,70.96,23.22,NA,99.7
No,Neutral,3.2,3.34,1.12,89.57,46.37,42.63,99.51
NA,NA,4.81,4.74,14.41,57.22,5.37,9.94,90.29
NA,Neutral,4.49,4.3,10.09,91.91,5.7,1,106.69
Yes,Cold,NA,3.55,24.13,86.05,36.39,32.52,115.15
No,Neutral,6.05,5.84,NA,84.66,12.69,15.94,109.68
No,Neutral,4.48,4.56,2.93,97.04,67.05,69.79,101.05
Yes,Neutral,7,7.25,44.36,96.04,25.72,22.74,106.47
No,Neutral,4.4,4.61,11.37,97.45,48.61,50.21,105.73
Yes,Neutral,5.13,4.91,10.78,45.81,39.61,40.86,104.47
Yes,Cold,5.4,5.22,9.18,97.83,5.79,9.17,110.43
Yes,Neutral,7.76,7.43,7.16,90.43,91.54,90.24,120.77
No,Hot,7.7,8,5.62,73.75,11.08,13.19,93.3
No,Cold,NA,4.58,1.16,96.28,79.86,77.93,109.04
No,Neutral,5.42,5.59,11.35,68.44,38.29,39.78,103.82
Yes,Cold,7.65,7.73,5.58,81.08,65.38,66.93,105.66
NA,Cold,3.88,3.8,3.05,88.79,59.62,62.58,105.23
Yes,Neutral,7,7.3,20.02,79.25,47.11,50.45,119.56
No,Cold,6.63,6.87,5.4,31.67,NA,90.46,109.79
Yes,Neutral,NA,3.95,15.27,83.1,74.82,73.12,116.57
Yes,Cold,5.96,6.17,17.87,NA,NA,95.7,117.17
Yes,Neutral,NA,5.21,19.55,98.41,NA,80.31,109.08
No,Cold,7.54,7.54,4.7,99.88,13.33,14.24,113.76
No,Neutral,NA,5.88,1.91,99.36,27.67,29.47,110.89
NA,Hot,6.02,6.1,9.22,99.9,92.2,93.53,109.69
No,Neutral,2.86,2.97,15.88,75.72,5.14,5.92,100.55
Yes,Neutral,5.21,5.37,14.23,87.58,8.11,5.87,108.91
No,Hot,2.94,3,6.13,93.96,NA,68.22,92.82
Yes,Neutral,6.94,7.04,17.43,97.51,33.65,38.18,124.04
Yes,Neutral,NA,2.1,52.6,97.16,27.92,28.35,108.24
Yes,Cold,4.62,4.57,2.36,78.29,NA,57.69,106.45
No,Hot,3.77,3.81,2.61,92.83,63.3,63.75,98.43
No,Cold,6.81,7.03,3.54,98.81,27.6,23.06,120.28
Yes,Hot,6.62,6.58,34.19,70.4,24.33,29.3,108.35
No,Hot,5.42,5.2,6.48,90.49,20.3,16.98,98.77
No,NA,5.7,5.57,8.33,89.13,86.65,90.78,108.65
Yes,Hot,9.15,8.81,11.1,91.75,94.37,93.82,106.19
Yes,Hot,4.18,4.13,8.8,73.29,NA,23.78,99
No,Neutral,6.67,6.43,1.06,94.23,79.97,84.56,108.94
No,Hot,6.55,6.47,14.45,73.37,92.74,NA,102.09
No,Hot,9.36,8.99,13.84,94.35,75.03,70.27,97.5
No,Neutral,6.78,7.12,22.58,89.54,81.14,79.51,118.52
No,Neutral,6.55,6.28,13.76,86.72,5.32,NA,106.8
No,Neutral,7.66,7.78,17.63,69.6,3.41,6.17,92.62
No,Neutral,7.44,7.54,12.14,79.37,77.65,77.23,107.42
No,Neutral,4.64,4.75,7.34,75.27,98.36,96.67,111.46
No,Neutral,7.83,8.22,33.48,95.02,27.56,25.03,110.07
No,Neutral,6.28,6.34,3.06,92.84,78.53,80.29,111.18
Yes,Cold,NA,5.04,23.18,91.99,8.77,11.35,108.84
Yes,Hot,2.6,2.65,19.97,94.37,97.51,99,88.8
No,Neutral,4.8,NA,9.05,56.03,98.77,100,108.41
Yes,Neutral,4.76,4.61,3.38,74.35,83.94,80.06,103.71
Yes,Neutral,4.55,4.35,40.03,83.66,56.32,55.39,111.38
NA,Neutral,4.33,4.26,5.2,91.34,49.53,49.06,96.46
NA,Cold,4.74,4.96,26.62,79.8,NA,76.6,103.97
No,Neutral,5.28,5.18,13.45,92.79,93.58,96.5,111.29
No,Neutral,6,6.1,NA,92.54,49.85,48.95,100.59
No,Cold,1,0.98,11.89,97.71,66.43,69.86,107.31
NA,Neutral,1,0.97,NA,88.43,91.61,95.31,98.11
No,Neutral,6.37,6.37,58.19,97.48,57.41,61.73,119.2
NA,Neutral,5.56,5.53,2.44,99.6,71.39,67.42,116.12
Yes,Neutral,2.43,NA,50.93,49.27,33.93,30.44,108.7
Yes,NA,8.68,8.92,8.75,76.22,94.48,97.3,117.04
NA,Neutral,5.37,5.36,2.25,89.76,32.89,31.75,104.1
No,Neutral,5.64,5.81,2.77,80.02,68.6,NA,112.49
No,Cold,5.42,5.19,2.64,33.89,86.92,82.83,105.63
Yes,Hot,5.44,5.41,13.45,91.28,27.62,22.94,105.64
Yes,Cold,7.68,7.77,30.76,66,NA,54.92,106.89
Yes,Cold,3.87,3.91,17.07,91.81,32.52,29.33,107.84
Yes,Neutral,5.78,5.52,10.69,95.07,33.63,NA,112.28
Yes,Cold,6.55,6.77,2.39,88.97,54.18,NA,107.54
No,Neutral,4.3,4.37,1.34,97.13,17.15,NA,110.99
No,Hot,4.82,5.05,6.02,80.53,81.51,82.31,92.92
No,Neutral,3.15,3,16.03,98.98,17.21,17.84,103.24
No,Cold,2.81,NA,1.06,96.38,50.81,52.46,110.92
No,Neutral,3.07,3.13,14.72,98.52,76.83,74.16,116.95
Yes,Neutral,4.59,4.37,17.39,78.41,74.2,74.72,118.44
No,Cold,5.22,5.13,NA,NA,87.73,92.24,109.04
No,Neutral,4.92,5.15,21.84,71.65,31.24,29.74,100.1
Yes,Neutral,7.5,NA,17.65,62.69,27.94,27.1,105.93
Yes,Hot,4.67,4.87,7.87,NA,6.09,1.67,102.74
No,Hot,4.85,NA,7.14,NA,33.76,36.26,96.84
Yes,Cold,4.09,4.17,3.45,99.93,16.72,18.15,115.26
No,Neutral,2.59,NA,16.59,53.39,19.62,22.61,92.21
No,Neutral,NA,6.2,12.55,96.55,15.78,17.11,106.3
No,NA,4.65,4.68,22.63,93.51,54.3,51.78,104.96
Yes,Neutral,7.96,7.73,7.08,88.28,28.14,28.46,103.6
NA,Hot,3.64,3.52,9.38,NA,68.75,70.24,99.4
No,Neutral,6.04,6.1,18.3,NA,22.52,20.42,110.92
Yes,Neutral,6.28,5.97,4.21,93.13,61.38,NA,108.33
Yes,Neutral,1.4,1.34,35.63,95.36,41.02,43.92,113.89
No,Neutral,8.25,8.43,10.72,98.31,15.78,13.42,111.96
No,Hot,6.3,6.16,5.15,86.38,84.1,80.5,95.95
Yes,Hot,5.02,4.88,5.03,93.65,56.86,56.97,97.45
No,Neutral,5.73,5.81,9.38,52.25,81.54,77.22,98.67
No,Neutral,6.46,6.58,57.69,94.61,63.75,67.42,114.69
Yes,Neutral,4.96,5.03,30.41,95.55,93.91,94.59,105.55
No,Neutral,4.92,5.08,8.11,82.92,87.41,90.65,104.08
Yes,Neutral,2.79,2.85,4.13,98.56,46.57,49.46,107.44
No,Hot,6.39,6.63,1.89,94.42,21.36,NA,101.21
Yes,Cold,1,0.99,12.16,64.62,38.74,42.6,108.12
Yes,Neutral,6.03,NA,NA,82.5,28.81,30.12,116.46
No,Hot,3.86,3.92,14.2,85.65,11.72,11.04,102.32
Yes,Neutral,6.82,6.69,3.52,94.51,4.52,1.26,119.4
Yes,Neutral,5.18,4.93,27.27,99.48,21.53,NA,115.31
No,Cold,8.55,8.45,5.98,90.9,46.35,43.52,118.62
